------------------------------------------
Visualizes the field specified in tools/parser
------------------------------------------
Lines processed: 32281
[0;32mData parsed; constructing histogram [0m
Visualizes a single field's distribution via histogram over a given dataset.
Number of distinct points:  1170
    Field    :    Count  			   
----------------------------------------
   d07354    :     5    
   d04370    :     9    
   d03644    :     7    
   d03206    :     69    
   d01277    :     1    
   a11130    :     1    
   d00381    :     7    
   d04090    :     3    
   a11759    :     1    
   a07048    :     3    
   d03266    :     43    
   a11738    :     1    
   d00550    :     9    
   a11769    :     1    
   d01325    :     4    
   d03210    :     6    
   d00097    :     31    
   d04272    :     1    
   d01227    :     27    
   d04156    :     5    
   a70521    :     1    
   d03433    :     1    
   d00255    :     9    
   d04058    :     2    
   d03338    :     2    
   d04032    :     2    
   d03423    :     44    
   d01032    :     1    
   d00044    :     65    
   a11010    :     3    
   d04379    :     1    
   d03804    :     6    
   d00279    :     4    
   n09038    :     1    
   a11162    :     3    
   d01150    :     3    
   d00114    :     17    
   d00241    :     20    
   d00052    :     27    
   a11705    :     1    
   a11413    :     1    
   d00709    :     4    
   d00652    :     2    
   d03261    :     1    
   d04294    :     52    
   d00976    :     1    
   c00055    :     4    
   a10944    :     1    
   d03623    :     2    
   d00960    :     23    
   d01322    :     1    
   c00080    :     3    
   d00133    :     6    
   d00365    :     36    
   d03819    :     12    
   d04286    :     27    
   a11020    :     2    
   a10785    :     1    
   d00289    :     1    
   d00161    :     8    
   d00270    :     1    
   a70123    :     1    
   d03984    :     9    
   d04707    :     2    
   d01282    :     2    
   d00839    :     3    
   d00283    :     1    
   d03836    :     2    
   c00039    :     78    
   d00197    :     99    
   c00052    :     1    
   c00025    :     9    
   a10096    :     1    
   d01225    :     2    
   d00134    :     279    
   d04441    :     3    
   d03244    :     6    
   d01219    :     22    
   d04433    :     1    
   a11671    :     1    
   a11368    :     1    
   a11027    :     4    
   d04501    :     1    
   a11325    :     9    
   d03826    :     99    
   d00011    :     202    
   d03162    :     11    
   d00061    :     30    
   d03296    :     1    
   d00142    :     6    
   d01191    :     3    
   d05847    :     18    
   d05366    :     2    
   c00123    :     10    
   d00986    :     1    
   d04008    :     2    
   d03830    :     20    
   d00373    :     22    
   d04882    :     2    
   d00119    :     2    
   d00009    :     1    
   d00217    :     9    
   d05421    :     15    
   d04899    :     36    
   a10988    :     2    
   a70484    :     2    
   d00880    :     215    
   a11615    :     1    
   d03496    :     1    
   d01291    :     9    
   d01199    :     2    
   d03740    :     2    
   a10968    :     3    
   d00116    :     20    
   d03839    :     5    
   d00006    :     5    
   d05612    :     1    
   d04434    :     11    
   d03182    :     159    
   d00018    :     6    
   a10717    :     1    
   d03128    :     56    
   d05899    :     5    
   d03300    :     1    
   d04418    :     6    
   d01115    :     20    
   d05696    :     1    
   d04380    :     73    
   d03665    :     1    
   a70009    :     15    
   d01384    :     1    
   a10133    :     8    
   d01165    :     1    
   d04754    :     31    
   d04929    :     4    
   d04696    :     7    
   d00189    :     2    
   d03396    :     1    
   d03703    :     2    
   d03310    :     1    
   d04742    :     6    
   d04111    :     17    
   d03457    :     4    
   a70491    :     1    
   d05835    :     7    
   d04466    :     1    
   d04871    :     2    
   a11330    :     1    
   d00337    :     9    
   d03857    :     1    
   d06836    :     1    
   a11627    :     1    
   n09081    :     1    
   c00061    :     8    
   d00746    :     251    
   d03537    :     1    
   d05633    :     14    
   d03428    :     392    
   a11549    :     1    
   d03848    :     2    
   a10857    :     1    
   d00726    :     43    
   d04509    :     2    
   d04276    :     20    
   d03973    :     7    
   d00206    :     15    
   d03850    :     4    
   d04374    :     2    
   d03864    :     18    
   d00900    :     134    
   a11695    :     1    
   d04851    :     95    
   d04788    :     40    
   d03289    :     2    
   d04283    :     133    
   d04523    :     3    
   d00083    :     15    
   d00769    :     8    
   a10897    :     9    
   d00245    :     22    
   d01274    :     3    
   d00056    :     40    
   d04093    :     1    
   a52775    :     6    
   d03561    :     21    
   d04819    :     38    
   d01031    :     14    
   a10453    :     10    
   d00964    :     16    
   d00620    :     55    
   d03227    :     12    
   d03873    :     8    
   d00048    :     42    
   d04813    :     2    
   a10163    :     1    
   d04476    :     2    
   d05048    :     13    
   d06860    :     8    
   a10664    :     23    
   d03050    :     119    
   d04695    :     6    
   d03265    :     3    
   a10000    :     1    
   d00084    :     22    
   d04261    :     9    
   a57001    :     3    
   d00426    :     9    
   d03669    :     1    
   d03525    :     1    
   d00242    :     8    
   a10795    :     1    
   d04448    :     45    
   d00732    :     367    
   d04068    :     20    
   d04344    :     9    
   d00963    :     96    
   d04311    :     3    
   d04708    :     4    
   d01017    :     2    
   d01147    :     1    
   a11419    :     1    
   a11732    :     1    
   d00728    :     45    
   d05413    :     27    
   d04790    :     2    
   a52023    :     1    
   d07397    :     3    
   a11654    :     2    
   d04328    :     24    
   d01201    :     2    
   d00704    :     15    
   d04764    :     3    
   d01139    :     2    
   d00651    :     2    
   d00773    :     2    
   d00146    :     67    
   d00273    :     29    
   d04420    :     4    
   d03371    :     1    
   d04514    :     78    
   d03075    :     43    
   d05214    :     24    
   d00360    :     3    
   d00572    :     3    
   d00290    :     8    
   d03822    :     1    
   d03513    :     1    
   a70700    :     1    
   d01295    :     1    
   d03368    :     14    
   d00139    :     16    
   d00851    :     11    
   d04726    :     5    
