FeatureValue   |   Average TimeWithMD
       0      |       18.3685393258      
       1      |       17.3458110517      
       2      |       17.2696629213      
       3      |       17.9147727273      
       4      |       17.3909774436      
       5      |       18.4160583942      
       6      |       18.7355371901      
       7      |       17.963800905      
       8      |       19.9324324324      
       9      |       18.9081081081      
       10      |       19.4711111111      
       11      |       19.8296943231      
       12      |       19.2070484581      
       13      |       21.4      
       14      |       20.358649789      
       15      |       20.7314049587      
       16      |       19.6829268293      
       17      |       20.2536764706      
       18      |       21.0234375      
       19      |       18.4663865546      
       20      |       22.1532258065      
       21      |       22.193236715      
       22      |       19.6090534979      
       23      |       22.8695652174      
       24      |       21.5747126437      
       25      |       21.4098939929      
       26      |       21.375      
       27      |       19.0856164384      
       28      |       20.0319488818      
       29      |       21.2962962963      
       30      |       19.8553459119      
       31      |       21.9535603715      
       32      |       20.9790419162      
       33      |       21.3042168675      
       34      |       22.1059602649      
       35      |       21.0873786408      
       36      |       21.3822629969      
       37      |       21.1787878788      
       38      |       21.1032258065      
       39      |       21.5243902439      
       40      |       20.8491620112      
       41      |       21.4132947977      
       42      |       21.5809018568      
       43      |       21.4835164835      
       44      |       21.0326975477      
       45      |       21.4379746835      
       46      |       21.114973262      
       47      |       21.8881278539      
       48      |       20.4688995215      
       49      |       20.8891304348      
       50      |       21.2192622951      
       51      |       21.3799126638      
       52      |       22.0675105485      
       53      |       21.3158953722      
       54      |       21.0399159664      
       55      |       20.9340659341      
       56      |       21.4015444015      
       57      |       21.4376321353      
       58      |       20.5511022044      
       59      |       21.2326043738      
       60      |       21.6145833333      
       61      |       20.470703125      
       62      |       21.1266294227      
       63      |       20.4551724138      
       64      |       21.4910941476      
       65      |       21.5530474041      
       66      |       20.55602537      
       67      |       21.2129436326      
       68      |       21.2128603104      
       69      |       21.638961039      
       70      |       20.7859007833      
       71      |       20.0926829268      
       72      |       21.7139037433      
       73      |       20.4754521964      
       74      |       20.6022727273      
       75      |       19.7096774194      
       76      |       20.2560240964      
       77      |       20.8753623188      
       78      |       21.3133802817      
       79      |       19.2875816993      
       80      |       19.75      
       81      |       20.4787644788      
       82      |       21.295620438      
       83      |       19.8015267176      
       84      |       21.2536585366      
       85      |       20.0862944162      
       86      |       21.0122699387      
       87      |       19.4713375796      
       88      |       18.7535211268      
       89      |       21.1188118812      
       90      |       21.2121212121      
       91      |       23.4375      
       92      |       20.2653061224      
       93      |       19.90625      
       94      |       17.32      
       95      |       19.1538461538      
       96      |       23.6875      
       97      |       23.8      
       98      |       19.6      
       99      |       16.2      
       100      |       7.5      
