FeatureValue   |   Average TimeWithMD
       0      |       20.1127694859      
       1      |       19.2614610511      
       2      |       19.6171821306      
       3      |       19.4514044944      
       4      |       19.7174418605      
       5      |       19.4452722063      
       6      |       19.6075498575      
       7      |       23.6693668375      
       8      |       19.6341463415      
       9      |       19.9724770642      
       10      |       21.2444061962      
       11      |       19.3213296399      
       12      |       22.0107758621      
       13      |       19.9700374532      
       14      |       21.247826087      
       15      |       20.0694444444      
       16      |       22.2076923077      
       17      |       20.4871794872      
       18      |       21.9036144578      
       19      |       22.6455696203      
       20      |       24.3142857143      
       21      |       24.2      
       22      |       22.0952380952      
       23      |       24.28125      
       24      |       30.0      
       25      |       25.8333333333      
       26      |       17.4137931034      
       27      |       22.0714285714      
       28      |       24.15      
       29      |       30.9230769231      
       30      |       26.9565217391      
       31      |       24.3333333333      
       32      |       26.5625      
       33      |       33.0588235294      
       34      |       23.3571428571      
       35      |       32.5      
       36      |       38.0      
       37      |       18.75      
       38      |       33.6363636364      
       39      |       10.0      
       40      |       41.0      
       41      |       27.5      
       42      |       43.3333333333      
       43      |       63.6666666667      
       44      |       28.0      
       45      |       35.0      
       46      |       15.0      
       47      |       25.5      
       48      |       45.0      
       49      |       45.0      
       50      |       36.6666666667      
       51      |       30.0      
       52      |       48.125      
       53      |       10.0      
       54      |       25.0      
       57      |       0.0      
       58      |       12.5      
       60      |       30.0      
       64      |       80.0      
       66      |       50.0      
       67      |       20.0      
       68      |       15.0      
       69      |       15.0      
       71      |       15.0      
       72      |       15.0      
       75      |       45.0      
       77      |       30.0      
       80      |       45.0      
       82      |       32.5      
       83      |       15.0      
       86      |       55.0      
       87      |       51.0      
       90      |       32.5      
       92      |       45.0      
       96      |       50.0      
       99      |       41.1111111111      
