FeatureValue   |   Average TimeWithMD
       9      |       20.3690018286      
       14      |       15.0      
       17      |       16.4      
       18      |       15.2307692308      
       19      |       19.4666666667      
       20      |       18.1875      
       21      |       17.4035087719      
       22      |       18.38      
       23      |       21.5227272727      
       24      |       20.2962962963      
       25      |       17.7192982456      
       26      |       19.4074074074      
       27      |       18.5526315789      
       28      |       20.0      
       29      |       20.0571428571      
       30      |       18.2835820896      
       31      |       18.1846153846      
       32      |       18.6455696203      
       33      |       20.3220338983      
       34      |       17.0833333333      
       35      |       19.4615384615      
       36      |       20.4576271186      
       37      |       18.8444444444      
       38      |       17.5348837209      
       39      |       20.1666666667      
       40      |       18.1454545455      
       41      |       19.796875      
       42      |       17.8260869565      
       43      |       20.2325581395      
       44      |       15.88      
       45      |       18.0384615385      
       46      |       17.7872340426      
       47      |       20.9285714286      
       48      |       21.2978723404      
       49      |       18.0434782609      
       50      |       20.7755102041      
       51      |       18.2727272727      
       52      |       22.7954545455      
       53      |       21.0      
       54      |       18.9545454545      
       55      |       21.5254237288      
       56      |       18.515625      
       57      |       21.1129032258      
       58      |       21.2482758621      
       59      |       21.492      
       60      |       19.7619047619      
       61      |       20.7625786164      
       62      |       21.2578849722      
       63      |       21.7456445993      
       64      |       20.6004746835      
       65      |       20.7858880779      
       66      |       20.8007874016      
       67      |       21.7323529412      
       68      |       21.9766949153      
       69      |       21.50125      
       70      |       21.1256830601      
       71      |       20.7536704731      
       72      |       21.4186795491      
       73      |       20.8388888889      
       74      |       20.503968254      
       75      |       21.0769230769      
       76      |       22.1428571429      
       77      |       20.3666666667      
       78      |       17.4736842105      
       79      |       23.0      
       80      |       15.0      
       81      |       14.0      
       82      |       60.0      
       83      |       0.0      
