FeatureValue   |   Average TimeWithMD
       4      |       21.6666666667      
       5      |       16.5      
       6      |       18.5333333333      
       7      |       19.0384615385      
       8      |       18.8039215686      
       9      |       21.0575634518      
       10      |       20.2894736842      
       11      |       17.7692307692      
       12      |       21.3571428571      
       13      |       18.3928571429      
       14      |       17.8113207547      
       15      |       18.4107142857      
       16      |       18.9855072464      
       17      |       18.1230769231      
       18      |       18.6842105263      
       19      |       17.3484848485      
       20      |       17.24      
       21      |       18.8305084746      
       22      |       17.8958333333      
       23      |       15.0806451613      
       24      |       18.4444444444      
       25      |       18.4181818182      
       26      |       18.2967032967      
       27      |       18.2142857143      
       28      |       17.768115942      
       29      |       19.5294117647      
       30      |       18.9038461538      
       31      |       14.9305555556      
       32      |       15.5344827586      
       33      |       17.3875      
       34      |       16.4210526316      
       35      |       21.3606557377      
       36      |       18.1428571429      
       37      |       16.9130434783      
       38      |       18.5909090909      
       39      |       21.3225806452      
       40      |       16.358974359      
       41      |       16.4324324324      
       42      |       16.4489795918      
       43      |       18.5      
       44      |       18.7173913043      
       45      |       21.5333333333      
       46      |       16.2790697674      
       47      |       17.6285714286      
       48      |       18.0833333333      
       49      |       16.8064516129      
       50      |       19.0      
       51      |       20.8148148148      
       52      |       17.2413793103      
       53      |       17.5384615385      
       54      |       20.28      
       55      |       15.3684210526      
       56      |       19.6111111111      
       57      |       19.5294117647      
       58      |       16.8214285714      
       59      |       18.0      
       60      |       21.8387096774      
       61      |       19.0416666667      
       62      |       20.72      
       63      |       24.1363636364      
       64      |       16.8387096774      
       65      |       21.6315789474      
       66      |       19.7727272727      
       67      |       19.9      
       68      |       16.625      
       69      |       18.2222222222      
       70      |       17.8333333333      
       71      |       21.0476190476      
       72      |       17.9285714286      
       73      |       20.3571428571      
       74      |       19.1538461538      
       75      |       21.0      
       76      |       18.8      
       77      |       21.45      
       78      |       23.1111111111      
       79      |       21.6      
       80      |       17.8235294118      
       81      |       22.5      
       82      |       20.0555555556      
