FeatureValue   |   Average TimeWithMD
       7      |       17.805      
       9      |       20.6368087746      
       10      |       18.3333333333      
       11      |       14.0      
       12      |       17.2941176471      
       13      |       20.3846153846      
       14      |       19.0641025641      
       15      |       19.3307392996      
       16      |       20.2385964912      
       17      |       20.5341880342      
       18      |       20.5752212389      
       19      |       21.3787878788      
       20      |       21.1593090211      
       21      |       21.2839931153      
       22      |       20.8755980861      
       23      |       21.4042288557      
       24      |       21.0902061856      
       25      |       21.5719381688      
       26      |       21.6135802469      
       27      |       21.5079754601      
       28      |       21.3409703504      
       29      |       21.8055944056      
       30      |       20.9517470882      
       31      |       20.6875      
       32      |       21.425      
       33      |       20.6732186732      
       34      |       20.6780626781      
       35      |       21.6602316602      
       36      |       21.4046692607      
       37      |       21.1428571429      
       38      |       21.1694915254      
       39      |       20.3660130719      
       40      |       20.8467153285      
       41      |       20.5967741935      
       42      |       21.3805309735      
       43      |       21.6710526316      
       44      |       22.4782608696      
       45      |       24.7      
       46      |       19.35      
       47      |       16.6666666667      
       48      |       21.8857142857      
       49      |       21.3225806452      
       50      |       20.3157894737      
       51      |       20.5333333333      
       52      |       22.0      
       53      |       16.25      
       54      |       21.5      
       55      |       23.5714285714      
       56      |       27.7142857143      
       57      |       13.8      
       58      |       13.4      
       59      |       22.0      
       60      |       18.0      
       61      |       16.25      
       62      |       16.0      
       63      |       16.0      
       64      |       27.5      
       65      |       25.0      
       66      |       19.5      
       67      |       14.5      
       68      |       8.0      
       70      |       17.0      
       71      |       18.3333333333      
       72      |       24.5      
       73      |       15.0      
       74      |       15.0      
       79      |       34.0      
       81      |       30.0      
       92      |       15.0      
