FeatureValue   |   Average TimeWithMD
       1024      |       17.5      
       1025      |       15.0      
       1026      |       15.0      
       1027      |       8.0      
       1028      |       21.25      
       1029      |       14.0      
       1030      |       17.5      
       1031      |       18.75      
       1032      |       15.0      
       9      |       20.8766834811      
       1035      |       17.0      
       1039      |       25.0      
       1043      |       20.0      
       1048      |       12.0      
       1070      |       14.0      
       900      |       30.0      
       905      |       15.0      
       910      |       40.0      
       920      |       11.6666666667      
       922      |       20.0      
       927      |       20.0      
       929      |       11.0      
       933      |       18.5      
       941      |       25.0      
       943      |       15.0      
       944      |       30.0      
       945      |       30.0      
       946      |       15.0      
       947      |       15.0      
       949      |       25.0      
       950      |       15.0      
       951      |       23.3333333333      
       952      |       16.6666666667      
       953      |       24.3333333333      
       954      |       26.4285714286      
       955      |       18.0      
       956      |       25.5333333333      
       957      |       23.75      
       958      |       17.5454545455      
       959      |       19.6923076923      
       960      |       20.5303030303      
       961      |       15.9473684211      
       962      |       24.2058823529      
       963      |       25.7037037037      
       964      |       22.4857142857      
       965      |       21.9024390244      
       966      |       21.2394366197      
       967      |       21.0      
       968      |       21.2608695652      
       969      |       21.5789473684      
       970      |       19.8193548387      
       971      |       19.5571428571      
       972      |       19.1607142857      
       973      |       21.0126582278      
       974      |       20.15625      
       975      |       19.9315960912      
       976      |       20.2041763341      
       977      |       20.3484848485      
       978      |       21.1834677419      
       979      |       21.1772639692      
       980      |       18.9553496209      
       981      |       19.9789473684      
       982      |       19.9787535411      
       983      |       19.5766871166      
       984      |       20.7432950192      
       985      |       19.9082125604      
       986      |       20.1473396999      
       987      |       21.1626506024      
       988      |       20.2572347267      
       989      |       20.4291845494      
       990      |       18.9918699187      
       991      |       20.3861386139      
       992      |       19.0      
       993      |       18.5063291139      
       994      |       19.0256410256      
       995      |       18.1764705882      
       996      |       21.5142857143      
       997      |       18.3870967742      
       998      |       19.5555555556      
       999      |       17.8125      
       1000      |       19.6111111111      
       1001      |       29.625      
       1002      |       19.9473684211      
       1003      |       15.1111111111      
       1004      |       17.0714285714      
       1005      |       20.6363636364      
       1006      |       18.875      
       1007      |       14.0      
       1008      |       19.75      
       1009      |       21.0      
       1010      |       17.875      
       1011      |       21.2222222222      
       1012      |       18.5714285714      
       1013      |       15.0      
       1014      |       23.8      
       1015      |       19.3333333333      
       1016      |       27.4      
       1017      |       19.6666666667      
       1018      |       15.0      
       1019      |       16.7142857143      
       1020      |       17.2      
       1021      |       55.0      
       1022      |       16.8      
       1023      |       27.5      
