FeatureValue   |   Average TimeWithMD
       0      |       18.595712098      
       1      |       21.4315789474      
       2      |       20.0343502282      
       3      |       19.3335750544      
       4      |       19.7643585615      
       5      |       20.6139733601      
       6      |       21.3236947791      
       7      |       22.3485449735      
       8      |       22.7518959913      
       9      |       22.905204461      
       10      |       25.9735294118      
       11      |       27.2685185185      
       12      |       31.9      
       13      |       32.0      
       14      |       34.9591836735      
       15      |       39.2631578947      
       16      |       43.5714285714      
       17      |       37.125      
       18      |       63.3333333333      
       19      |       45.0      
       20      |       35.0      
       21      |       15.0      
       23      |       15.0      
