FeatureValue   |   Average TimeWithMD
       3205      |       21.4285714286      
       2049      |       11.25      
       2050      |       12.4827586207      
       6833      |       15.8181818182      
       2054      |       9.6875      
       2055      |       18.6176470588      
       2732      |       19.4736842105      
       6154      |       24.0      
       2059      |       14.7727272727      
       2060      |       18.8461538462      
       15      |       19.96875      
       2064      |       8.70967741935      
       2065      |       10.6666666667      
       2069      |       22.8      
       22      |       16.0571428571      
       2071      |       20.7407407407      
       2072      |       21.5      
       2076      |       18.2173913043      
       2078      |       30.0      
       31      |       19.375      
       33      |       15.0      
       2082      |       22.4594594595      
       2395      |       20.3846153846      
       2084      |       23.5185185185      
       2085      |       27.2727272727      
       6183      |       20.8928571429      
       6184      |       15.9375      
       41      |       20.7037037037      
       42      |       30.9615384615      
       43      |       24.7826086957      
       44      |       34.85      
       6834      |       18.2142857143      
       2095      |       12.1290322581      
       2096      |       19.8095238095      
       6193      |       20.1      
       2098      |       16.6315789474      
       6835      |       19.4117647059      
       2102      |       15.5769230769      
       3081      |       21.0625      
       6495      |       20.1923076923      
       60      |       30.8333333333      
       2109      |       33.0952380952      
       62      |       23.7857142857      
       63      |       17.2051282051      
       3366      |       26.7692307692      
       6155      |       31.5      
       2117      |       60.0      
       70      |       14.625      
       6215      |       1.0      
       2120      |       29.5454545455      
       2121      |       52.7777777778      
       77      |       13.0952380952      
       2128      |       45.0      
       6225      |       22.7857142857      
       6814      |       0.0      
       83      |       11.9512195122      
       85      |       20.4615384615      
       86      |       19.3513513514      
       87      |       16.6923076923      
       88      |       25.8      
       2137      |       40.0      
       91      |       17.2222222222      
       92      |       14.4827586207      
       2141      |       66.0      
       98      |       10.0      
       99      |       9.8125      
       2148      |       48.5833333333      
       2151      |       60.0      
       104      |       26.243902439      
       106      |       16.7407407407      
       107      |       21.4516129032      
       6823      |       22.2222222222      
       6255      |       27.5945945946      
       112      |       21.6666666667      
       2162      |       3.23529411765      
       115      |       23.7894736842      
       116      |       19.96      
       2165      |       32.8571428571      
       118      |       20.1470588235      
       2168      |       40.6      
       123      |       17.325      
       125      |       16.2413793103      
       126      |       17.8571428571      
       128      |       5.76923076923      
       129      |       35.0      
       6274      |       16.9714285714      
       2179      |       39.2121212121      
       132      |       19.2580645161      
       133      |       20.1111111111      
       134      |       17.8648648649      
       136      |       21.625      
       6845      |       17.6428571429      
       2186      |       20.0      
       6283      |       20.3461538462      
       6365      |       15.5555555556      
       142      |       16.935483871      
       143      |       15.7142857143      
       2193      |       53.3333333333      
       6643      |       19.1666666667      
       2755      |       17.3863636364      
       148      |       22.3333333333      
       149      |       21.6666666667      
       154      |       33.6206896552      
       157      |       21.1481481481      
       158      |       17.1428571429      
       6303      |       14.53125      
       2208      |       30.8333333333      
       161      |       14.7222222222      
       162      |       14.5238095238      
       2211      |       30.0      
       164      |       38.0      
       165      |       14.5161290323      
       166      |       19.3333333333      
       2215      |       60.0      
       2216      |       24.0      
       2217      |       0.0      
       6314      |       16.9090909091      
       2759      |       15.0      
       172      |       27.9090909091      
       173      |       21.0      
       2222      |       25.9722222222      
       6875      |       19.8064516129      
       178      |       15.0      
