FeatureValue   |   Average TimeWithMD
       0      |       20.5724330222      
       1      |       22.3953488372      
       2      |       18.9259259259      
       4099      |       21.9736842105      
       4      |       21.1715686275      
       4102      |       22.1538461538      
       7      |       27.0      
       4105      |       20.6834862385      
       10      |       17.5      
       11      |       20.1058201058      
       12      |       19.724137931      
       4109      |       17.90625      
       14      |       16.0      
       15      |       19.056980057      
       16      |       22.9090909091      
       4113      |       20.8534482759      
       18      |       19.6923076923      
       19      |       19.572327044      
       20      |       21.0      
       21      |       19.8571428571      
       22      |       19.1739130435      
       23      |       21.6129032258      
       24      |       20.4444444444      
       4121      |       17.3235294118      
       27      |       22.7692307692      
       28      |       32.0      
       4125      |       17.2142857143      
       30      |       15.0      
       10271      |       15.0      
       32      |       23.3829787234      
       4784      |       21.8333333333      
       55330      |       20.8823529412      
       37      |       18.2441860465      
       4134      |       30.0      
       39      |       14.5698924731      
       40      |       22.5      
       41      |       13.75      
       42      |       15.0      
       43      |       16.6363636364      
       44      |       20.0      
       45      |       21.7260273973      
       46      |       26.9069767442      
       47      |       13.0      
       48      |       21.9268292683      
       49      |       18.6708333333      
       50      |       22.8620689655      
       51      |       19.7941176471      
       52      |       19.925      
       55      |       11.6666666667      
       56      |       17.2258064516      
       4788      |       15.625      
       58      |       21.5675675676      
       59      |       23.5142857143      
       4156      |       22.2105263158      
       61      |       24.4      
       4160      |       25.0      
       352      |       21.0      
       53315      |       20.3333333333      
       69      |       14.7      
       70      |       18.4311926606      
       71      |       16.265625      
       72      |       25.6666666667      
       73      |       17.7142857143      
       4172      |       19.0      
       78      |       20.0      
       13      |       17.2      
       80      |       17.2857142857      
       81      |       30.5      
       82      |       40.0      
       83      |       31.3      
       84      |       17.8275862069      
       86      |       9.0      
       87      |       32.0      
       88      |       17.6634382567      
       89      |       17.1764705882      
       91      |       16.7582781457      
       93      |       35.0      
       95      |       17.6666666667      
       96      |       18.3913043478      
       97      |       16.962962963      
       98      |       21.3333333333      
       100      |       16.625      
       101      |       20.0      
       102      |       19.0434782609      
       103      |       16.5428571429      
       105      |       42.0      
       108      |       18.6136363636      
       109      |       21.5384615385      
       110      |       18.7962962963      
       112      |       18.5074626866      
       114      |       15.380952381      
       4115      |       25.1666666667      
       116      |       22.7586206897      
       117      |       16.3333333333      
       118      |       24.5      
       4215      |       26.0769230769      
       4747      |       20.6956521739      
       122      |       20.0      
       4219      |       15.0      
       124      |       17.3521126761      
       125      |       17.6      
       4222      |       20.2727272727      
       4223      |       23.0864197531      
       1027      |       20.1666666667      
       4225      |       7.0      
       131      |       19.0      
       132      |       28.875      
       133      |       18.0      
       134      |       20.3501805054      
       135      |       0.0      
       136      |       20.0      
       4233      |       22.9285714286      
       138      |       17.4      
       139      |       14.9642857143      
       140      |       15.6315789474      
       141      |       21.0285714286      
       142      |       15.3333333333      
       143      |       27.243902439      
       144      |       26.4838709677      
       10385      |       21.2      
       146      |       22.8051948052      
       10916      |       20.0      
       148      |       23.0714285714      
       4245      |       22.1111111111      
       150      |       22.8181818182      
       25      |       35.1290322581      
       153      |       25.0      
       154      |       25.0      
       128      |       15.0      
       4253      |       20.0      
       4255      |       21.0833333333      
       4256      |       15.8358208955      
       161      |       24.0      
       4258      |       20.5187969925      
       11291      |       0.0      
       4260      |       15.0      
       4261      |       17.5555555556      
       168      |       20.9308176101      
       169      |       17.1153846154      
       170      |       21.1514018692      
       4267      |       18.5      
       1133      |       25.4      
       4270      |       19.125      
       4271      |       15.8333333333      
       4272      |       20.0      
       177      |       10.0      
       178      |       15.0      
       179      |       21.8      
       4276      |       19.6666666667      
       181      |       31.4197530864      
       182      |       20.0      
       4279      |       18.1666666667      
       184      |       14.5      
       185      |       22.0      
       186      |       15.0      
       4283      |       18.6350364964      
