------------------------------------------
Naive Bayes: Train on 2009, Test on 2010
------------------------------------------
Score:  0.018156200967
Prediction     |     Actual     |     Difference     
-----------------------------------------------------
       70      |       30       |         40        
       60      |       00       |         60        
       70      |       30       |         40        
       60      |       10       |         50        
       80      |       30       |         50        
       70      |       10       |         60        
       00      |       30       |         -30        
       70      |       20       |         50        
       70      |       30       |         40        
       80      |       10       |         70        
       70      |       20       |         50        
       60      |       20       |         40        
       00      |       20       |         -20        
       00      |       30       |         -30        
       80      |       10       |         70        
       70      |       20       |         50        
       00      |       30       |         -30        
       80      |       10       |         70        
       00      |       10       |         -10        
       80      |       10       |         70        
       60      |       20       |         40        
       80      |       20       |         60        
       80      |       10       |         70        
       60      |       30       |         30        
       70      |       10       |         60        
       80      |       30       |         50        
       70      |       00       |         70        
       80      |       20       |         60        
       00      |       20       |         -20        
       70      |       30       |         40        
       60      |       00       |         60        
       80      |       20       |         60        
       50      |       20       |         30        
       00      |       10       |         -10        
       80      |       10       |         70        
       60      |       10       |         50        
       80      |       10       |         70        
       90      |       10       |         80        
       80      |       10       |         70        
       70      |       10       |         60        
       60      |       10       |         50        
       70      |       20       |         50        
       90      |       20       |         70        
       70      |       10       |         60        
       90      |       20       |         70        
       70      |       10       |         60        
       50      |       10       |         40        
       80      |       10       |         70        
       80      |       20       |         60        
       90      |       20       |         70        
       70      |       10       |         60        
       60      |       20       |         40        
       90      |       20       |         70        
       80      |       10       |         70        
       00      |       10       |         -10        
       90      |       20       |         70        
       00      |       20       |         -20        
       60      |       20       |         40        
       00      |       20       |         -20        
       00      |       10       |         -10        
       70      |       10       |         60        
       00      |       10       |         -10        
       80      |       10       |         70        
       80      |       10       |         70        
       60      |       10       |         50        
       80      |       10       |         70        
       70      |       10       |         60        
       00      |       20       |         -20        
       70      |       10       |         60        
       00      |       20       |         -20        
       60      |       10       |         50        
       60      |       20       |         40        
       60      |       10       |         50        
       60      |       30       |         30        
       40      |       20       |         20        
       60      |       10       |         50        
       60      |       10       |         50        
       30      |       10       |         20        
       60      |       10       |         50        
       00      |       10       |         -10        
       00      |       10       |         -10        
       60      |       10       |         50        
       60      |       10       |         50        
       00      |       10       |         -10        
       00      |       10       |         -10        
       00      |       10       |         -10        
       00      |       10       |         -10        
